name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
TOXIKK,0.76580149,0,6334,1/20/2020,618700,5047,9/10/2016,0,0,0,1,0
PRICE,0.94741595,0,6444,4/20/2020,1011491,4431,9/15/2016,0,0,0,0,0
Rivals of Aether,0.87527275,10.99,44783,2/20/2020,1311802,5500,3/28/2017,0,0,0,0,0
The Elder Scrolls V: Skyrim,0.94073039,9.9899998,195899,1/20/2020,967829,252254,5/22/2017,1,1,0,0,0
NEKOPARA Vol. 3,0.97436547,6.9899998,2022,8/20/2020,717126,7880,5/25/2017,1,0,0,0,0
EVERSPACE,0.78885001,22.99,39643,5/20/2020,683590,5148,5/25/2017,0,0,0,0,0
Friday the 13th: The Game,0.70307863,15.49,125328,5/20/2020,683590,27967,5/25/2017,0,0,0,0,0
RiME,0.90218598,29.99,16483,6/20/2020,709304,2699,5/26/2017,0,0,0,0,0
Emily is Away Too,0.93100274,3.99,41929,5/20/2020,683590,3261,5/26/2017,1,0,0,0,0
Confess My Love,0.94139093,0,6851,9/20/2020,1132031,3566,5/27/2017,0,0,0,0,0
Dragonia,0.86664134,1.59,7,9/20/2020,1219579,5264,5/29/2017,0,0,0,0,0
Rising Storm 2: Vietnam,0.7826463,18.99,43582,6/20/2020,709304,21978,5/30/2017,1,0,0,1,0
DEEP SPACE WAIFU,0.96628314,1.59,3686,11/20/2020,800069,7474,5/31/2017,0,0,0,0,0
The Elder Scrolls:: Legends,0.7187835,0,44757,8/20/2020,1150353,7464,5/31/2017,0,0,0,0,0
Witch It,0.90304899,10.99,54175,6/20/2020,709304,2919,5/31/2017,0,0,0,0,0
TEKKEN 7,0.83060461,34.990002,236556,7/20/2020,1232340,263397,6/1/2017,1,0,1,0,0
WILL: A Wonderful World,0.94946051,10.99,1137,8/20/2020,1150353,3522,6/6/2017,0,0,0,0,0
Realm Grinder,0.8303408,0,429,12/20/2020,1136970,2729,6/15/2017,0,0,0,0,0
Material Girl,0.91439897,1.59,3,10/20/2020,1211344,7570,6/20/2017,0,0,0,0,0
Dungeon Defenders II,0.73901701,0,29509,2/20/2020,593219,14568,6/20/2017,1,0,0,0,0
House Party,0.84880161,10.99,45417,7/20/2020,760689,3922,6/30/2017,0,0,0,0,0
Unturned,0.90285015,0,31343,11/20/2020,581150,324056,7/7/2017,0,0,0,0,0
GORN,0.96437806,14.99,31679,12/20/2020,780131,3481,7/10/2017,0,0,0,0,0
Loading Screen Simulator,0.86069357,0,4388,12/20/2020,780131,6719,7/13/2017,0,0,0,0,0
Ultimate General: Civil War,0.85808927,22.99,1737,12/20/2020,659345,2868,7/14/2017,0,0,0,0,0
OLDTV,0.95146275,0,3720,12/20/2020,780131,4512,7/15/2017,0,0,0,0,0
Hand Simulator,0.78606409,1.59,61470,10/20/2020,1145919,12457,7/18/2017,0,0,0,0,0
Kingdoms and Castles,0.85078013,6.9899998,50067,7/20/2020,760689,7499,7/20/2017,0,0,0,0,0
Dreamfall Chapters,0.8342672,18.99,5134,5/20/2020,593981,3391,7/21/2017,0,0,0,0,0
Fate/EXTELLA,0.93282843,29.99,16379,7/20/2020,760689,3037,7/25/2017,0,0,0,0,0
Pyre,0.90500212,15.49,34317,7/20/2020,760689,4758,7/25/2017,0,0,0,0,0
Foxhole,0.79713947,14.99,47777,6/20/2020,709304,7621,7/27/2017,0,0,0,0,0
Car Mechanic Simulator 2018,0.77334869,14.99,37783,7/20/2020,760689,12142,7/28/2017,1,0,0,0,0
Black Squad,0.75252366,0,38899,7/20/2020,760689,44776,7/28/2017,0,0,0,1,0
